year,num_highly_ambiguous_names,share_babies_ambiguous
1910,2,0.27353087577061114
1911,2,0.30673142178486595
1912,0,0.3233341291255445
1913,2,0.3485038067154914
1914,2,0.42446348546562873
1915,2,0.4419470491715005
1916,3,0.46493415042630937
1917,2,0.45305837168860746
1918,6,0.5003144063679955
1919,7,0.48718235978403995
1920,4,0.5247046493630364
1921,5,0.5240811626246574
1922,4,0.5271333499118347
1923,7,0.5208336348843562
1924,8,0.5549312939117063
1925,8,0.5915319204370063
1926,8,0.6024371461267753
1927,9,0.6455793222668861
1928,6,0.6483597005186691
1929,5,0.649350426646912
1930,6,0.627598113956356
1931,5,0.6196069745984829
1932,1,0.6050417217154455
1933,6,0.572486027055796
1934,3,0.5965293738963621
1935,5,0.5892947002388723
1936,5,0.585051011398174
1937,5,0.5820344914174029
1938,6,0.5769272228336976
1939,5,0.5635892116686073
1940,6,0.5852054779286038
1941,6,0.609755394237554
1942,5,0.6181387396909876
1943,4,0.621538153329124
1944,5,0.5871844637237961
1945,5,0.5579148789237095
1946,6,0.5890612995868518
1947,8,0.5878236974069201
1948,4,0.558678991881477
1949,3,0.5502262263132537
1950,5,0.5357969713257882
1951,8,0.5472119966124797
1952,6,0.538469280873698
1953,9,0.5482198267709755
1954,7,0.554226637202213
1955,7,0.5733370570619571
1956,8,0.5636451682384949
1957,5,0.5962378247381641
1958,5,0.6147239977732105
1959,3,0.590058568802294
1960,3,0.573611816580047
1961,2,0.6052650986878578
1962,2,0.6048615908498649
1963,3,0.5911527781669609
1964,3,0.5969538019236453
1965,1,0.5859409434690147
1966,3,0.5999692143948104
1967,1,0.608320883018126
1968,4,0.607500493790896
1969,3,0.6103144319871181
1970,6,0.6403323395064926
1971,7,0.6213584807796775
1972,2,0.6125547582676418
1973,2,0.6125377377947753
1974,4,0.6168375494269235
1975,6,0.6266455154408686
1976,2,0.6255313244912124
1977,2,0.6317004291577476
1978,7,0.6437867128248976
1979,3,0.6445434198094142
1980,3,0.6648917717665533
1981,4,0.6681772442056564
1982,6,0.6820912535621457
1983,5,0.6827941205377269
1984,6,0.6930737936034802
1985,5,0.6970442568515329
1986,10,0.7106274745140152
1987,8,0.6988098444137053
1988,15,0.6883011094678096
1989,16,0.7636174933997321
1990,12,0.6738834357788164
1991,21,0.6466763300658716
1992,18,0.6411651111330519
1993,15,0.6320946830383131
1994,9,0.6142744012283735
1995,17,0.5453062306911826
1996,16,0.49202470835579215
1997,18,0.4394093295875167
1998,13,0.42462770497658126
1999,21,0.3960154944065835
2000,17,0.3961675895365647
2001,20,0.3459019950494106
2002,23,0.36491330703263025
2003,11,0.393510397597267
2004,14,0.672733023490517
2005,18,0.3580805489429621
2006,19,0.28033528425530513
2007,19,0.2772262367982212
2008,16,0.3171330471436157
2009,18,0.2647980761513148
2010,17,0.2551983854697397
2011,12,0.2493468202422762
2012,7,0.22344148716267268
2013,16,0.23728008826468247
2014,15,0.253468559115614
2015,11,0.2569539271568426
2016,15,0.24761859984619922
2017,9,0.24522165044823338
2018,17,0.2479370089594781
2019,21,0.25565207426004327
2020,14,0.2560688952516376
2021,25,0.2500214193463767
2022,24,0.25825456341792075
2023,23,0.2429640397147317
2024,27,0.22283576804437702
